Seq_number	Barcode	New_name	Location	Year	ext_rep	tech_rep	Sample_Control	Control_Type	ST_ID	Date_extracted	Batch	Volume_mL	Notes	Cst_Cnt	Cruise_ID	Cruise	Cruz_Sta	DbSta_ID	Cast_ID	Sta_ID	Quarter	Sta_Code	Distance	Date	Julian_Date	Julian_Day	Time	Lat_Dec	Lat_Deg	Lat_Min	Lat_Hem	Lon_Dec	Lon_Deg	Lon_Min	Lon_Hem	Rpt_Line	Ac_Line	Rpt_Sta	Ac_Sta	Bottom_D	Secchi	ForelU	Ship_Name	Ship_Code	Data_Type	Order_Occ	Event_Num	Cruz_Leg	Orig_Sta_ID	Data_Or	Cruz_Num	IntChl	IntC14	Inc_Str	Inc_End	PST_LAN	Civil_T	TimeZone	Wave_Dir	Wave_Ht	Wave_Prd	Wind_Dir	Wind_Spd	Barometer	Dry_T	Wet_T	Wea	Cloud_Typ	Cloud_Amt	Visibility	SS_T	SS_Salinity	SS_O2	SS_O2_sat	SS_silicate	SS_PO4	SS_NO3	SS_NO2	SS_NH4	SS_CHLa	SS_Phaeo	SS_DIC1	SS_TA1	SS_LightP	SS_pH1	max_100_T	max_100_Salinity	max_100_O2	max_100_O2_sat	max_100_silicate	max_100_PO4	max_100_NO3	max_100_NO2	max_100_NH4	max_100_CHLa	max_100_Phaeo	max_100_DIC1	max_100_TA1	max_100_LightP	max_100_pH1	min_100_T	min_100_Salinity	min_100_O2	min_100_O2_sat	min_100_silicate	min_100_PO4	min_100_NO3	min_100_NO2	min_100_NH4	min_100_CHLa	min_100_Phaeo	min_100_DIC1	min_100_TA1	min_100_LightP	min_100_pH1	mean_100_T	mean_100_Salinity	mean_100_O2	mean_100_O2_sat	mean_100_silicate	mean_100_PO4	mean_100_NO3	mean_100_NO2	mean_100_NH4	mean_100_CHLa	mean_100_Phaeo	mean_100_DIC1	mean_100_TA1	mean_100_LightP	mean_100_pH1	D100_T	D100_Salinity	D100_O2	D100_O2_sat	D100_silicate	D100_PO4	D100_NO3	D100_NO2	D100_NH4	D100_CHLa	D100_Phaeo	D100_DIC1	D100_TA1	D100_LightP	D100_pH1
Miu.3.b.21.S269	MiFish	MiFish_2013_4_86.7_50_1_3	2013_4_86.7_50	2013	1	3	Sample	NA	1304_86.7_50	6/28/19	13	125	normal	33296	2013-04-06-C-325S	201304	2.01E+13	8670500	20-13045S-MX-105-12:14-08670500	086.7 050.0	2	ST	-70.967	4/15/13	37361	105	12/30/1899 12:14:11	33.3245	33	19.47	N	-119.66017	-119	39.61	W	86.7	86.7	50	50	72	NA	NA	RV BELL M SHIMADA	325S	MX	35	398	1	86.7 50.0	3101	1304	68.1	NA					NA	NA	NA	NA	32	25	1011.6	12.2	11.6	NA	NA	NA	NA	12.42	33.656	5.76	95.3	9.8	0.85	7.9	0.12	0.14	2.76	0.74	NA	NA	NA	NA	12.42	33.94	5.76	95.3	33.3	2.12	27	0.18	0.52	2.76	0.74	NA	NA	NA	NA	9.2	33.656	2.27	35	9.8	0.85	7.9	0.1	0.11	0.06	0.22	NA	NA	NA	NA	10.37555556	33.83266667	3.478888889	55.61111111	23.92222222	1.666666667	20.04444444	0.132222222	0.251111111	0.688888889	0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Miu.3.b.22.S270	MiFish	MiFish_2013_4_93.3_30_1_3	2013_4_93.3_30	2013	1	3	Sample	NA	1304_93.3_30	6/28/19	13	125	normal	33320	2013-04-06-C-325S	201304	2.01E+13	9330300	20-13045S-MX-097-07:24-09330300	093.3 030.0	2	ST	-15.601	4/7/13	37353	97	12/30/1899 07:24:14	32.8385	32	50.31	N	-117.533	-117	31.98	W	93.3	93.3	30	30.1	870	NA	NA	RV BELL M SHIMADA	325S	MX	4	36	1	93.3 30.0	3101	1304	30.3	NA					NA	NA	NA	NA	33	2	1016	15.1	14.9	NA	NA	NA	NA	15.86	33.554	6.13	108.6	2.2	0.32	0	0	NA	0.24	0.05	NA	NA	NA	NA	15.86	33.874	6.46	111.8	26.4	1.98	24.2	0.12	NA	1.02	0.62	2134.47	2233.4	NA	NA	10.09	33.544	2.42	38.1	2	0.29	0	0	NA	0.03	0.05	2064.33	2233.08	NA	NA	11.89666667	33.66677778	4.016666667	66.62222222	15.3	1.292222222	14.53333333	0.035555556	NA	0.311111111	0.216666667	2099.4	2233.24	NA	NA	9.84	33.976	2.16	33.9	29.3	2.08	25.7	0	NA	0.02	0.1	NA	NA	NA	NA
Miu.3.b.23.S271	MiFish	MiFish_2013_4_93.3_60_1_3	2013_4_93.3_60	2013	1	3	Sample	NA	1304_93.3_60	6/28/19	13	125	normal	33326	2013-04-06-C-325S	201304	2.01E+13	9330600	20-13045S-PR-101-15:13-09330600	093.3 060.0	2	ST	-135.193	4/11/13	37357	101	12/30/1899 15:13:47	31.8475	31	50.85	N	-119.5805	-119	34.83	W	93.3	93.3	60	60.1	1860	16	NA	RV BELL M SHIMADA	325S	PR	22	246	1	93.3 60.0	3101	1304	51.2	322.1	12/30/1899 11:59:00	12/30/1899 18:55:00	12/30/1899 11:59:00	12/30/1899 18:54:00	8	32	4	6	32	19	1016.3	14	13	2	6	8	6	14.16	33.358	6	102.7	3.3	0.33	0.1	0.02	0.02	0.47	0.14	NA	NA	0.38	NA	14.16	33.398	6.06	103.4	5.5	0.62	4.3	0.19	0.15	0.85	0.2	NA	NA	0.38	NA	12.44	33.34	5.66	93.3	3.3	0.33	0.1	0.02	0.02	0.23	0.12	NA	NA	0.005	NA	13.78153846	33.373	5.982307692	101.5461538	3.623076923	0.38	0.761538462	0.05	0.068461538	0.548461538	0.157692308	NA	NA	0.12525	NA	11.29	33.417	4.87	78.5	9.6	0.95	10.3	0.03	0	0.14	0.1	NA	NA	NA	NA
Seb.Rep.1.long.b.20.S65	Sebastes	Sebastes_2013_4_80_60_1_1	2013_4_80_60	2013	1	1	Sample	NA	1304_80_60	6/28/19	13	125	normal	33275	2013-04-06-C-325S	201304	2.01E+13	8000600	20-13045S-PR-110-16:16-08000600	080.0 060.0	2	ST	-39.155	4/20/13	37366	110	12/30/1899 16:16:07	34.15232	34	9.139	N	-121.16733	-121	10.04	W	80	80	60	60.2	2310	18	NA	RV BELL M SHIMADA	325S	PR	57	648	1	80.0 60.0	3101	1304	57.4	574.5	12/30/1899 12:00:00	12/30/1899 19:11:00	12/30/1899 12:03:00	12/30/1899 19:11:00	8	34	7	6	33	27	1016.3	13.1	11.8	0	NA	0	7	11.86	33.607	5.85	95.6	7.5	0.92	8.6	0.18	1	0.79	0.28	NA	NA	0.38	NA	11.87	33.685	5.88	96	23.1	1.73	22.5	0.19	1.03	0.83	0.4	NA	NA	0.38	NA	9.49	33.57	3.4	52.8	7.4	0.91	8.5	0.04	0.08	0.05	0.26	NA	NA	0.005	NA	11.39	33.60653846	5.323333333	86.25	10.58333333	1.0875	11.475	0.168333333	0.799166667	0.605	0.295	NA	NA	0.138857143	NA	9.47	33.688	3.39	52.5	23.4	1.74	22.6	0.04	0.08	0.05	0.25	NA	NA	NA	NA
Seb.Rep.2.b.20.S159	Sebastes	Sebastes_2013_4_80_60_1_2	2013_4_80_60	2013	1	2	Sample	NA	1304_80_60	6/28/19	13	125	normal	33275	2013-04-06-C-325S	201304	2.01E+13	8000600	20-13045S-PR-110-16:16-08000600	080.0 060.0	2	ST	-39.155	4/20/13	37366	110	12/30/1899 16:16:07	34.15232	34	9.139	N	-121.16733	-121	10.04	W	80	80	60	60.2	2310	18	NA	RV BELL M SHIMADA	325S	PR	57	648	1	80.0 60.0	3101	1304	57.4	574.5	12/30/1899 12:00:00	12/30/1899 19:11:00	12/30/1899 12:03:00	12/30/1899 19:11:00	8	34	7	6	33	27	1016.3	13.1	11.8	0	NA	0	7	11.86	33.607	5.85	95.6	7.5	0.92	8.6	0.18	1	0.79	0.28	NA	NA	0.38	NA	11.87	33.685	5.88	96	23.1	1.73	22.5	0.19	1.03	0.83	0.4	NA	NA	0.38	NA	9.49	33.57	3.4	52.8	7.4	0.91	8.5	0.04	0.08	0.05	0.26	NA	NA	0.005	NA	11.39	33.60653846	5.323333333	86.25	10.58333333	1.0875	11.475	0.168333333	0.799166667	0.605	0.295	NA	NA	0.138857143	NA	9.47	33.688	3.39	52.5	23.4	1.74	22.6	0.04	0.08	0.05	0.25	NA	NA	NA	NA
Seb.Rep.3.b.20.S253	Sebastes	Sebastes_2013_4_80_60_1_3	2013_4_80_60	2013	1	3	Sample	NA	1304_80_60	6/28/19	13	125	normal	33275	2013-04-06-C-325S	201304	2.01E+13	8000600	20-13045S-PR-110-16:16-08000600	080.0 060.0	2	ST	-39.155	4/20/13	37366	110	12/30/1899 16:16:07	34.15232	34	9.139	N	-121.16733	-121	10.04	W	80	80	60	60.2	2310	18	NA	RV BELL M SHIMADA	325S	PR	57	648	1	80.0 60.0	3101	1304	57.4	574.5	12/30/1899 12:00:00	12/30/1899 19:11:00	12/30/1899 12:03:00	12/30/1899 19:11:00	8	34	7	6	33	27	1016.3	13.1	11.8	0	NA	0	7	11.86	33.607	5.85	95.6	7.5	0.92	8.6	0.18	1	0.79	0.28	NA	NA	0.38	NA	11.87	33.685	5.88	96	23.1	1.73	22.5	0.19	1.03	0.83	0.4	NA	NA	0.38	NA	9.49	33.57	3.4	52.8	7.4	0.91	8.5	0.04	0.08	0.05	0.26	NA	NA	0.005	NA	11.39	33.60653846	5.323333333	86.25	10.58333333	1.0875	11.475	0.168333333	0.799166667	0.605	0.295	NA	NA	0.138857143	NA	9.47	33.688	3.39	52.5	23.4	1.74	22.6	0.04	0.08	0.05	0.25	NA	NA	NA	NA
Seb.Rep.1.long.b.21.S66	Sebastes	Sebastes_2013_4_86.7_50_1_1	2013_4_86.7_50	2013	1	1	Sample	NA	1304_86.7_50	6/28/19	13	125	normal	33296	2013-04-06-C-325S	201304	2.01E+13	8670500	20-13045S-MX-105-12:14-08670500	086.7 050.0	2	ST	-70.967	4/15/13	37361	105	12/30/1899 12:14:11	33.3245	33	19.47	N	-119.66017	-119	39.61	W	86.7	86.7	50	50	72	NA	NA	RV BELL M SHIMADA	325S	MX	35	398	1	86.7 50.0	3101	1304	68.1	NA					NA	NA	NA	NA	32	25	1011.6	12.2	11.6	NA	NA	NA	NA	12.42	33.656	5.76	95.3	9.8	0.85	7.9	0.12	0.14	2.76	0.74	NA	NA	NA	NA	12.42	33.94	5.76	95.3	33.3	2.12	27	0.18	0.52	2.76	0.74	NA	NA	NA	NA	9.2	33.656	2.27	35	9.8	0.85	7.9	0.1	0.11	0.06	0.22	NA	NA	NA	NA	10.37555556	33.83266667	3.478888889	55.61111111	23.92222222	1.666666667	20.04444444	0.132222222	0.251111111	0.688888889	0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seb.Rep.2.b.21.S160	Sebastes	Sebastes_2013_4_86.7_50_1_2	2013_4_86.7_50	2013	1	2	Sample	NA	1304_86.7_50	6/28/19	13	125	normal	33296	2013-04-06-C-325S	201304	2.01E+13	8670500	20-13045S-MX-105-12:14-08670500	086.7 050.0	2	ST	-70.967	4/15/13	37361	105	12/30/1899 12:14:11	33.3245	33	19.47	N	-119.66017	-119	39.61	W	86.7	86.7	50	50	72	NA	NA	RV BELL M SHIMADA	325S	MX	35	398	1	86.7 50.0	3101	1304	68.1	NA					NA	NA	NA	NA	32	25	1011.6	12.2	11.6	NA	NA	NA	NA	12.42	33.656	5.76	95.3	9.8	0.85	7.9	0.12	0.14	2.76	0.74	NA	NA	NA	NA	12.42	33.94	5.76	95.3	33.3	2.12	27	0.18	0.52	2.76	0.74	NA	NA	NA	NA	9.2	33.656	2.27	35	9.8	0.85	7.9	0.1	0.11	0.06	0.22	NA	NA	NA	NA	10.37555556	33.83266667	3.478888889	55.61111111	23.92222222	1.666666667	20.04444444	0.132222222	0.251111111	0.688888889	0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seb.Rep.3.b.21.S254	Sebastes	Sebastes_2013_4_86.7_50_1_3	2013_4_86.7_50	2013	1	3	Sample	NA	1304_86.7_50	6/28/19	13	125	normal	33296	2013-04-06-C-325S	201304	2.01E+13	8670500	20-13045S-MX-105-12:14-08670500	086.7 050.0	2	ST	-70.967	4/15/13	37361	105	12/30/1899 12:14:11	33.3245	33	19.47	N	-119.66017	-119	39.61	W	86.7	86.7	50	50	72	NA	NA	RV BELL M SHIMADA	325S	MX	35	398	1	86.7 50.0	3101	1304	68.1	NA					NA	NA	NA	NA	32	25	1011.6	12.2	11.6	NA	NA	NA	NA	12.42	33.656	5.76	95.3	9.8	0.85	7.9	0.12	0.14	2.76	0.74	NA	NA	NA	NA	12.42	33.94	5.76	95.3	33.3	2.12	27	0.18	0.52	2.76	0.74	NA	NA	NA	NA	9.2	33.656	2.27	35	9.8	0.85	7.9	0.1	0.11	0.06	0.22	NA	NA	NA	NA	10.37555556	33.83266667	3.478888889	55.61111111	23.92222222	1.666666667	20.04444444	0.132222222	0.251111111	0.688888889	0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seb.Rep.1.long.b.22.S67	Sebastes	Sebastes_2013_4_93.3_30_1_1	2013_4_93.3_30	2013	1	1	Sample	NA	1304_93.3_30	6/28/19	13	125	normal	33320	2013-04-06-C-325S	201304	2.01E+13	9330300	20-13045S-MX-097-07:24-09330300	093.3 030.0	2	ST	-15.601	4/7/13	37353	97	12/30/1899 07:24:14	32.8385	32	50.31	N	-117.533	-117	31.98	W	93.3	93.3	30	30.1	870	NA	NA	RV BELL M SHIMADA	325S	MX	4	36	1	93.3 30.0	3101	1304	30.3	NA					NA	NA	NA	NA	33	2	1016	15.1	14.9	NA	NA	NA	NA	15.86	33.554	6.13	108.6	2.2	0.32	0	0	NA	0.24	0.05	NA	NA	NA	NA	15.86	33.874	6.46	111.8	26.4	1.98	24.2	0.12	NA	1.02	0.62	2134.47	2233.4	NA	NA	10.09	33.544	2.42	38.1	2	0.29	0	0	NA	0.03	0.05	2064.33	2233.08	NA	NA	11.89666667	33.66677778	4.016666667	66.62222222	15.3	1.292222222	14.53333333	0.035555556	NA	0.311111111	0.216666667	2099.4	2233.24	NA	NA	9.84	33.976	2.16	33.9	29.3	2.08	25.7	0	NA	0.02	0.1	NA	NA	NA	NA
Seb.Rep.2.b.22.S161	Sebastes	Sebastes_2013_4_93.3_30_1_2	2013_4_93.3_30	2013	1	2	Sample	NA	1304_93.3_30	6/28/19	13	125	normal	33320	2013-04-06-C-325S	201304	2.01E+13	9330300	20-13045S-MX-097-07:24-09330300	093.3 030.0	2	ST	-15.601	4/7/13	37353	97	12/30/1899 07:24:14	32.8385	32	50.31	N	-117.533	-117	31.98	W	93.3	93.3	30	30.1	870	NA	NA	RV BELL M SHIMADA	325S	MX	4	36	1	93.3 30.0	3101	1304	30.3	NA					NA	NA	NA	NA	33	2	1016	15.1	14.9	NA	NA	NA	NA	15.86	33.554	6.13	108.6	2.2	0.32	0	0	NA	0.24	0.05	NA	NA	NA	NA	15.86	33.874	6.46	111.8	26.4	1.98	24.2	0.12	NA	1.02	0.62	2134.47	2233.4	NA	NA	10.09	33.544	2.42	38.1	2	0.29	0	0	NA	0.03	0.05	2064.33	2233.08	NA	NA	11.89666667	33.66677778	4.016666667	66.62222222	15.3	1.292222222	14.53333333	0.035555556	NA	0.311111111	0.216666667	2099.4	2233.24	NA	NA	9.84	33.976	2.16	33.9	29.3	2.08	25.7	0	NA	0.02	0.1	NA	NA	NA	NA
Seb.Rep.1.long.b.23.S68	Sebastes	Sebastes_2013_4_93.3_60_1_1	2013_4_93.3_60	2013	1	1	Sample	NA	1304_93.3_60	6/28/19	13	125	normal	33326	2013-04-06-C-325S	201304	2.01E+13	9330600	20-13045S-PR-101-15:13-09330600	093.3 060.0	2	ST	-135.193	4/11/13	37357	101	12/30/1899 15:13:47	31.8475	31	50.85	N	-119.5805	-119	34.83	W	93.3	93.3	60	60.1	1860	16	NA	RV BELL M SHIMADA	325S	PR	22	246	1	93.3 60.0	3101	1304	51.2	322.1	12/30/1899 11:59:00	12/30/1899 18:55:00	12/30/1899 11:59:00	12/30/1899 18:54:00	8	32	4	6	32	19	1016.3	14	13	2	6	8	6	14.16	33.358	6	102.7	3.3	0.33	0.1	0.02	0.02	0.47	0.14	NA	NA	0.38	NA	14.16	33.398	6.06	103.4	5.5	0.62	4.3	0.19	0.15	0.85	0.2	NA	NA	0.38	NA	12.44	33.34	5.66	93.3	3.3	0.33	0.1	0.02	0.02	0.23	0.12	NA	NA	0.005	NA	13.78153846	33.373	5.982307692	101.5461538	3.623076923	0.38	0.761538462	0.05	0.068461538	0.548461538	0.157692308	NA	NA	0.12525	NA	11.29	33.417	4.87	78.5	9.6	0.95	10.3	0.03	0	0.14	0.1	NA	NA	NA	NA
Seb.Rep.2.b.23.S162	Sebastes	Sebastes_2013_4_93.3_60_1_2	2013_4_93.3_60	2013	1	2	Sample	NA	1304_93.3_60	6/28/19	13	125	normal	33326	2013-04-06-C-325S	201304	2.01E+13	9330600	20-13045S-PR-101-15:13-09330600	093.3 060.0	2	ST	-135.193	4/11/13	37357	101	12/30/1899 15:13:47	31.8475	31	50.85	N	-119.5805	-119	34.83	W	93.3	93.3	60	60.1	1860	16	NA	RV BELL M SHIMADA	325S	PR	22	246	1	93.3 60.0	3101	1304	51.2	322.1	12/30/1899 11:59:00	12/30/1899 18:55:00	12/30/1899 11:59:00	12/30/1899 18:54:00	8	32	4	6	32	19	1016.3	14	13	2	6	8	6	14.16	33.358	6	102.7	3.3	0.33	0.1	0.02	0.02	0.47	0.14	NA	NA	0.38	NA	14.16	33.398	6.06	103.4	5.5	0.62	4.3	0.19	0.15	0.85	0.2	NA	NA	0.38	NA	12.44	33.34	5.66	93.3	3.3	0.33	0.1	0.02	0.02	0.23	0.12	NA	NA	0.005	NA	13.78153846	33.373	5.982307692	101.5461538	3.623076923	0.38	0.761538462	0.05	0.068461538	0.548461538	0.157692308	NA	NA	0.12525	NA	11.29	33.417	4.87	78.5	9.6	0.95	10.3	0.03	0	0.14	0.1	NA	NA	NA	NA
Seb.Rep.3.b.23.S256	Sebastes	Sebastes_2013_4_93.3_60_1_3	2013_4_93.3_60	2013	1	3	Sample	NA	1304_93.3_60	6/28/19	13	125	normal	33326	2013-04-06-C-325S	201304	2.01E+13	9330600	20-13045S-PR-101-15:13-09330600	093.3 060.0	2	ST	-135.193	4/11/13	37357	101	12/30/1899 15:13:47	31.8475	31	50.85	N	-119.5805	-119	34.83	W	93.3	93.3	60	60.1	1860	16	NA	RV BELL M SHIMADA	325S	PR	22	246	1	93.3 60.0	3101	1304	51.2	322.1	12/30/1899 11:59:00	12/30/1899 18:55:00	12/30/1899 11:59:00	12/30/1899 18:54:00	8	32	4	6	32	19	1016.3	14	13	2	6	8	6	14.16	33.358	6	102.7	3.3	0.33	0.1	0.02	0.02	0.47	0.14	NA	NA	0.38	NA	14.16	33.398	6.06	103.4	5.5	0.62	4.3	0.19	0.15	0.85	0.2	NA	NA	0.38	NA	12.44	33.34	5.66	93.3	3.3	0.33	0.1	0.02	0.02	0.23	0.12	NA	NA	0.005	NA	13.78153846	33.373	5.982307692	101.5461538	3.623076923	0.38	0.761538462	0.05	0.068461538	0.548461538	0.157692308	NA	NA	0.12525	NA	11.29	33.417	4.87	78.5	9.6	0.95	10.3	0.03	0	0.14	0.1	NA	NA	NA	NA
Miu.1.b.16.S64	MiFish	MiFish_2012_4_80_60_1_1	2012_4_80_60	2012	1	1	Sample	NA	1203_80_60	6/28/19	12	125	full	32966	2012-03-25-C-325S	201203	2.01E+13	8000600	20-12035S-MX-097-1942-08000600	080.0 060.0	2	ST	-38.519	4/6/12	41006	98	12/30/1899 19:42:00	34.151667	34	9.1	N	-121.148333	-121	8.9	W	80	80	60	60	2165	13	NA	RV BELL M SHIMADA	325S	MX	57	562	NA	80.0 60.0	3101	1203	170.4	NA					NA	32	10	9	33	23	1022.3	11.9	8.7	1	0	1	8	11.11	33.55	5.79	93	12.4	1.13	12.1	0.22	0.53	1.75	0.44	NA	NA	NA	NA	11.11	33.746	5.79	93	24.6	1.85	22.1	0.28	0.67	2.58	0.94	NA	NA	NA	NA	10.07	33.55	3.55	55.8	12.1	1.11	12.1	0.21	0.3	0.27	0.25	NA	NA	NA	NA	10.853	33.6057	5.313333333	84.94444444	14.32222222	1.261111111	14.13333333	0.227777778	0.462222222	1.677777778	0.498888889	NA	NA	NA	NA	9.65	33.89	2.47	38.5	30.6	2.15	26	0.3	0.2	0.18	0.31	NA	NA	NA	NA
Miu.1.b.17.S65	MiFish	MiFish_2012_3_86.7_50_1_1	2012_3_86.7_50	2012	1	1	Sample	NA	1203_86.7_50	6/28/19	12	125	low_normal	32981	2012-03-25-C-325S	201203	2.01E+13	8670500	20-12035S-MX-091-0228-08670500	086.7 050.0	1	ST	-71.279	3/31/12	40999	91	12/30/1899 02:28:00	33.321667	33	19.3	N	-119.665	-119	39.9	W	86.7	86.7	50	50	82	NA	NA	RV BELL M SHIMADA	325S	MX	31	302	NA	86.7 50.0	3101	1203	171.9	NA					NA	NA	NA	NA	29	17	1015.2	12.9	12.3	0	NA	0	0	12.69	33.488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.69	33.731	6.05	100.5	23.2	1.61	20.8	0.28	0.31	4.78	0.48	NA	NA	NA	NA	10.18	33.488	3.33	52.5	6.8	0.72	5.8	0.12	0.04	0.68	0.21	NA	NA	NA	NA	11.54555556	33.59566667	4.84625	78.7	13.45	1.11125	12.5375	0.18375	0.192857143	2.59625	0.30625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Miu.1.b.18.S66	MiFish	MiFish_2012_3_93.3_30_1_1	2012_3_93.3_30	2012	1	1	Sample	NA	1203_93.3_30	6/28/19	12	125	low_normal	33000	2012-03-25-C-325S	201203	2.01E+13	9330300	20-12035S-MX-085-1016-09330300	093.3 030.0	1	ST	-15.276	3/25/12	40993	85	12/30/1899 10:16:00	32.843333	32	50.6	N	-117.533333	-117	32	W	93.3	93.3	30	30	850	NA	NA	RV BELL M SHIMADA	325S	MX	3	22	NA	93.3 30.0	3101	1203	75.9	NA					NA	NA	NA	NA	13	6	1013.9	13.2	11	0	NA	0	0	13.31	33.494	6.11	102.8	4.6	0.6	3.1	0.1	0.16	1.09	0.33	NA	NA	NA	NA	13.31	34.008	6.11	102.8	31.6	2.21	26.9	0.36	0.97	2.67	0.33	2175.92	2314.39	NA	NA	9.95	33.494	1.73	27.2	4.6	0.6	3.1	0.1	0	0.1	0.1	2066.13	2241.53	NA	NA	11.399	33.7077	3.801	62.24	17.55	1.446	16.13	0.189	0.222	0.753	0.212	2121.025	2277.96	NA	NA	9.84	34.078	1.75	27.4	32.4	2.23	27.3	0.06	0	0.05	0.16	2217.63	2313.23	NA	NA
Miu.1.b.19.S67	MiFish	MiFish_2012_3_93.3_60_1_1	2012_3_93.3_60	2012	1	1	Sample	NA	1203_93.3_60	6/28/19	12	125	low_normal	33006	2012-03-25-C-325S	201203	2.01E+13	9330600	20-12035S-MX-086-1100-09330600	093.3 060.0	1	ST	-134.783	3/26/12	40994	86	12/30/1899 11:00:00	31.845	31	50.7	N	-119.573333	-119	34.4	W	93.3	93.3	60	60	1862	NA	NA	RV BELL M SHIMADA	325S	MX	9	82	NA	93.3 60.0	3101	1203	27	NA					NA	NA	NA	NA	29	13	1017.4	13.2	10.4	0	NA	0	0	14.79	33.432	5.86	101.6	2.6	0.34	0	0.02	0.03	0.18	0.02	NA	NA	NA	NA	14.79	33.432	5.9	101.6	11	1.08	12.4	0.23	0.14	0.71	0.27	NA	NA	NA	NA	10.97	33.291	4.62	73.9	2.5	0.3	0	0.02	0.01	0.1	0.02	NA	NA	NA	NA	13.64	33.3814	5.609	95.13	4.38	0.497	2.83	0.054	0.047	0.274	0.08	NA	NA	NA	NA	10.43	33.464	4.28	67.7	14.7	1.29	15.9	0.04	0.1	0.05	0.03	NA	NA	NA	NA
Miu.2.b.16.S164	MiFish	MiFish_2012_4_80_60_1_2	2012_4_80_60	2012	1	2	Sample	NA	1203_80_60	6/28/19	12	125	full	32966	2012-03-25-C-325S	201203	2.01E+13	8000600	20-12035S-MX-097-1942-08000600	080.0 060.0	2	ST	-38.519	4/6/12	41006	98	12/30/1899 19:42:00	34.151667	34	9.1	N	-121.148333	-121	8.9	W	80	80	60	60	2165	13	NA	RV BELL M SHIMADA	325S	MX	57	562	NA	80.0 60.0	3101	1203	170.4	NA					NA	32	10	9	33	23	1022.3	11.9	8.7	1	0	1	8	11.11	33.55	5.79	93	12.4	1.13	12.1	0.22	0.53	1.75	0.44	NA	NA	NA	NA	11.11	33.746	5.79	93	24.6	1.85	22.1	0.28	0.67	2.58	0.94	NA	NA	NA	NA	10.07	33.55	3.55	55.8	12.1	1.11	12.1	0.21	0.3	0.27	0.25	NA	NA	NA	NA	10.853	33.6057	5.313333333	84.94444444	14.32222222	1.261111111	14.13333333	0.227777778	0.462222222	1.677777778	0.498888889	NA	NA	NA	NA	9.65	33.89	2.47	38.5	30.6	2.15	26	0.3	0.2	0.18	0.31	NA	NA	NA	NA
Miu.2.b.17.S165	MiFish	MiFish_2012_3_86.7_50_1_2	2012_3_86.7_50	2012	1	2	Sample	NA	1203_86.7_50	6/28/19	12	125	low_normal	32981	2012-03-25-C-325S	201203	2.01E+13	8670500	20-12035S-MX-091-0228-08670500	086.7 050.0	1	ST	-71.279	3/31/12	40999	91	12/30/1899 02:28:00	33.321667	33	19.3	N	-119.665	-119	39.9	W	86.7	86.7	50	50	82	NA	NA	RV BELL M SHIMADA	325S	MX	31	302	NA	86.7 50.0	3101	1203	171.9	NA					NA	NA	NA	NA	29	17	1015.2	12.9	12.3	0	NA	0	0	12.69	33.488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.69	33.731	6.05	100.5	23.2	1.61	20.8	0.28	0.31	4.78	0.48	NA	NA	NA	NA	10.18	33.488	3.33	52.5	6.8	0.72	5.8	0.12	0.04	0.68	0.21	NA	NA	NA	NA	11.54555556	33.59566667	4.84625	78.7	13.45	1.11125	12.5375	0.18375	0.192857143	2.59625	0.30625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Miu.2.b.18.S166	MiFish	MiFish_2012_3_93.3_30_1_2	2012_3_93.3_30	2012	1	2	Sample	NA	1203_93.3_30	6/28/19	12	125	low_normal	33000	2012-03-25-C-325S	201203	2.01E+13	9330300	20-12035S-MX-085-1016-09330300	093.3 030.0	1	ST	-15.276	3/25/12	40993	85	12/30/1899 10:16:00	32.843333	32	50.6	N	-117.533333	-117	32	W	93.3	93.3	30	30	850	NA	NA	RV BELL M SHIMADA	325S	MX	3	22	NA	93.3 30.0	3101	1203	75.9	NA					NA	NA	NA	NA	13	6	1013.9	13.2	11	0	NA	0	0	13.31	33.494	6.11	102.8	4.6	0.6	3.1	0.1	0.16	1.09	0.33	NA	NA	NA	NA	13.31	34.008	6.11	102.8	31.6	2.21	26.9	0.36	0.97	2.67	0.33	2175.92	2314.39	NA	NA	9.95	33.494	1.73	27.2	4.6	0.6	3.1	0.1	0	0.1	0.1	2066.13	2241.53	NA	NA	11.399	33.7077	3.801	62.24	17.55	1.446	16.13	0.189	0.222	0.753	0.212	2121.025	2277.96	NA	NA	9.84	34.078	1.75	27.4	32.4	2.23	27.3	0.06	0	0.05	0.16	2217.63	2313.23	NA	NA
